com.badlogic.gdx.graphics.g2d.TextureAtlas.newSprite(com.badlogic.gdx.graphics.g2d.TextureAtlas.AtlasRegion);AtlasRegion
com.badlogic.gdx.maps.tiled.BaseTmxMapLoader.loadBasicLayerInfo(com.badlogic.gdx.maps.MapLayer, com.badlogic.gdx.utils.XmlReader.Element);MapLayer
com.badlogic.gdx.graphics.g2d.GlyphLayout.adjustLastGlyph(com.badlogic.gdx.graphics.g2d.BitmapFont.BitmapFontData, com.badlogic.gdx.graphics.g2d.GlyphLayout.GlyphRun);BitmapFontData
com.badlogic.gdx.assets.AssetLoadingTask.resolve(com.badlogic.gdx.assets.loaders.AssetLoader, com.badlogic.gdx.assets.AssetDescriptor);AssetDescriptor
com.badlogic.gdx.graphics.g3d.loader.G3dModelLoader.parseColor(com.badlogic.gdx.utils.JsonValue);JsonValue
com.badlogic.gdx.graphics.g3d.particles.ParticleEffectLoader.save(com.badlogic.gdx.graphics.g3d.particles.ParticleEffect, com.badlogic.gdx.graphics.g3d.particles.ParticleEffectLoader.ParticleEffectSaveParameter);ParticleEffect
com.badlogic.gdx.graphics.g3d.utils.DefaultRenderableSorter.getTranslation(com.badlogic.gdx.math.Matrix4, com.badlogic.gdx.math.Vector3, com.badlogic.gdx.math.Vector3);Vector3
com.badlogic.gdx.scenes.scene2d.ui.SelectBox.onShow(com.badlogic.gdx.scenes.scene2d.Actor, boolean);Actor
com.badlogic.gdx.scenes.scene2d.ui.SelectBox.onHide(com.badlogic.gdx.scenes.scene2d.Actor);Actor
com.badlogic.gdx.net.NetJavaSocketImpl.applyHints(com.badlogic.gdx.net.SocketHints);SocketHints
com.badlogic.gdx.graphics.g2d.BitmapFont.BitmapFontData.setGlyphRegion(com.badlogic.gdx.graphics.g2d.BitmapFont.Glyph, com.badlogic.gdx.graphics.g2d.TextureRegion);Glyph
com.badlogic.gdx.graphics.g3d.Model.convertMaterial(com.badlogic.gdx.graphics.g3d.model.data.ModelMaterial, com.badlogic.gdx.graphics.g3d.utils.TextureProvider);ModelMaterial
com.badlogic.gdx.graphics.Camera.unproject(com.badlogic.gdx.math.Vector3, float, float, float, float);Vector3
com.badlogic.gdx.graphics.Camera.project(com.badlogic.gdx.math.Vector3, float, float, float, float);Vector3
com.badlogic.gdx.graphics.g2d.PixmapPacker.GuillotineStrategy.insert(com.badlogic.gdx.graphics.g2d.PixmapPacker.GuillotineStrategy.Node, com.badlogic.gdx.math.Rectangle);Rectangle
